text,latency,response
this year is 2030,0.06332778930664062,"{""prediction"":0}
"
this year is 2030,0.05408334732055664,"{""prediction"":0}
"
this year is 2030,0.05598902702331543,"{""prediction"":0}
"
this year is 2030,0.05798459053039551,"{""prediction"":0}
"
this year is 2030,0.05827903747558594,"{""prediction"":0}
"
this year is 2030,0.06118941307067871,"{""prediction"":0}
"
this year is 2030,0.05868697166442871,"{""prediction"":0}
"
this year is 2030,0.06189751625061035,"{""prediction"":0}
"
this year is 2030,0.060952186584472656,"{""prediction"":0}
"
this year is 2030,0.06959223747253418,"{""prediction"":0}
"
this year is 2030,0.06180834770202637,"{""prediction"":0}
"
this year is 2030,0.058318138122558594,"{""prediction"":0}
"
this year is 2030,0.06334543228149414,"{""prediction"":0}
"
this year is 2030,0.06218743324279785,"{""prediction"":0}
"
this year is 2030,0.07942962646484375,"{""prediction"":0}
"
this year is 2030,0.06629824638366699,"{""prediction"":0}
"
this year is 2030,0.0734407901763916,"{""prediction"":0}
"
this year is 2030,0.0682535171508789,"{""prediction"":0}
"
this year is 2030,0.06051516532897949,"{""prediction"":0}
"
this year is 2030,0.07296347618103027,"{""prediction"":0}
"
this year is 2030,0.0597681999206543,"{""prediction"":0}
"
this year is 2030,0.0768136978149414,"{""prediction"":0}
"
this year is 2030,0.05797886848449707,"{""prediction"":0}
"
this year is 2030,0.06914258003234863,"{""prediction"":0}
"
this year is 2030,0.06456327438354492,"{""prediction"":0}
"
this year is 2030,0.06663131713867188,"{""prediction"":0}
"
this year is 2030,0.06797170639038086,"{""prediction"":0}
"
this year is 2030,0.06285691261291504,"{""prediction"":0}
"
this year is 2030,0.05526876449584961,"{""prediction"":0}
"
this year is 2030,0.0664982795715332,"{""prediction"":0}
"
this year is 2030,0.05683326721191406,"{""prediction"":0}
"
this year is 2030,0.053931474685668945,"{""prediction"":0}
"
this year is 2030,0.055182695388793945,"{""prediction"":0}
"
this year is 2030,0.05676531791687012,"{""prediction"":0}
"
this year is 2030,0.06181168556213379,"{""prediction"":0}
"
this year is 2030,0.059717655181884766,"{""prediction"":0}
"
this year is 2030,0.0573115348815918,"{""prediction"":0}
"
this year is 2030,0.054517269134521484,"{""prediction"":0}
"
this year is 2030,0.0562593936920166,"{""prediction"":0}
"
this year is 2030,0.09896278381347656,"{""prediction"":0}
"
this year is 2030,0.056794166564941406,"{""prediction"":0}
"
this year is 2030,0.057131052017211914,"{""prediction"":0}
"
this year is 2030,0.06046462059020996,"{""prediction"":0}
"
this year is 2030,0.05552935600280762,"{""prediction"":0}
"
this year is 2030,0.05898547172546387,"{""prediction"":0}
"
this year is 2030,0.060657501220703125,"{""prediction"":0}
"
this year is 2030,0.06178879737854004,"{""prediction"":0}
"
this year is 2030,0.06852936744689941,"{""prediction"":0}
"
this year is 2030,0.055028438568115234,"{""prediction"":0}
"
this year is 2030,0.06611895561218262,"{""prediction"":0}
"
this year is 2030,0.055985212326049805,"{""prediction"":0}
"
this year is 2030,0.05999159812927246,"{""prediction"":0}
"
this year is 2030,0.062351226806640625,"{""prediction"":0}
"
this year is 2030,0.05841636657714844,"{""prediction"":0}
"
